_id,name,description,common_complications
88,"Electroencephalogram (EEG, recording of brain electricity)",A recording of the brain's electrical activity used to help diagnose brain disorders such as epilepsy and brain injury.,None.
90,Electron beam computed tomography (Coronary calcium heart scan),"A computer generated x-ray measuring calcium buildup in and around the coronary arteries, which may indicate an increased risk of heart disease.",Multiple exposures to radiation can increase the risk of cancer later in life.
91,"Electronystagmogram (electronystagmography, ENG, inner ear test)",A medical test of the vestibular system which is used to help diagnose balance problems. The test involves placing electrodes on the patient's head and measuring electrical impulses associated with eye movements.,Rarely nausea that resolves quickly after the test.
92,Embolization (block an artery),"A surgical procedure to block an artery using a balloon or coil. Embolization can be done, for example, as a treatment to block the flow of blood to a tumor or a bleeding blood vessel.",Infection and pain. At times the wrong vessel can be blocked causing damage to normal adjacent tissue.
93,Endocrine therapy (hormone therapy),"A therapy that adds, blocks, or removes hormones for the treatment of many conditions like diabetes, menopause, thyroid conditions, and to stop the growth of certain cancers.",Complications depend on the hormones being used and disorder being treated.
94,Endometrial ablation (remove lining of uterus),A surgical procedure that scars the lining of the uterus. It can be used as an alternative to hysterectomy for treatment of excessive menstrual bleeding.,"Pain, infection, vaginal bleeding, damage to the cervix, and perforation of the uterus."
95,Endoscopic retrograde cholangiopancreatography (ERCP),"A procedure used to diagnose and treat a variety of gastrointestinal conditions like gallstones and pancreatitis. A flexible tube called an endoscope is inserted in the mouth and passed into the small intestine. The endoscope has a camera and openings for other instruments. The doctor finds the opening of the bile duct and squirts dye into duct as pictures are taken. The dye gets up the duct and also into the pancreatic ducts. If there is a blockage, the doctor may be able to fix it during the procedure. ","Inflammation of the pancreas (pancreatitis) occurs in 10% of the cases, and severe pancreatitis in 1%. Severe pancreatitis can be serious and even life threatening. Damage to esophagus, stomach or small intestine (duodenum) can also occur but is rare."
96,Endoscopic ultrasound (internal imaging procedure),"A medical procedure using an endoscope that is equipped to take close-up ultrasound images of abdominal organs. The endoscope, a flexible tube with a camera, is inserted in the mouth and moved through the esophagus, stomach and first part of the small intestine. During the procedure, the doctor can direct the sound waves to take pictures of hard to reach organs such as the pancreas and bile duct. ","Possible reaction to medication used for sedation. Damage to esophagus, stomach or small intestine (duodenum) can also occur but is rare. "
97,Endoscopy (flexible tube with camera),"A medical procedure using a flexible tube with a camera to examine the inside of the esophagus, stomach and first part of the small intestine. Reasons for the procedure include diagnosis and treatment of internal bleeding, ulcers and to help diagnose tumors and other conditions. Small tissue samples (biopsies) can be done through the endoscope. ","Possible reaction to medication used for sedation. Damage to esophagus, stomach or small intestine (duodenum) can also occur but is rare. "
98,Enema (insertion of liquid into rectum),"A procedure involving the injection of a liquid through the anus into the large bowel, generally for the treatment of constipation or imaging purposes.",Rarely injury to the rectum or large intestine (colon) including perforation can occur.
